file,target,preposition,determiner,pronoun,male_feature_count,female_feature_count
8ef18aadcc21fa0f8d712f36212825fb,1,23,3,332,58,10
854d30ec22ee6ebaf632e3e9b1946c22,1,12,2,228,75,21
5aca4baaf3a17dc6e202a578b6571e5f,1,12,4,204,54,11
e61debcedeeb7a5bc1b11783aa889827,1,13,0,191,88,36
cee6bf0e4c6b4ef6d6e74b0617e753fc,1,15,2,235,83,26
b17f6efd406556a8512583d4911ff88b,1,6,3,252,40,25
ec2d7a10aed2200aa3ebec7812610f5,1,24,1,216,101,24
f36809bbb9523c493ab52311c1998db,1,7,3,155,47,17
7081369a006e85226c560e892e613cb8,1,14,1,217,118,46
c38e5264da0f13573581bde56ecbcb0c,1,8,2,321,92,24
385f88d81c99dd5c6da3284d5f12aca5,1,20,1,234,84,26
15dea056d358c19b64f6357ac9469592,1,8,2,272,74,43
ed6246d042d1cf6d350e28ba06e5343a,1,6,4,163,55,13
b3e6174782c97ec319d31a26ce993e27,1,10,2,228,72,24
55bbc6ae5e7241d09e0eac7df7402105,1,8,2,209,41,18
65d901c0f3fd834f82831a9a3bd128ba,1,10,1,165,77,24
8dc82c62acf3c499a91577e97e438e72,1,15,4,272,86,28
cb314e3a0f388046a67a550241217de5,1,11,0,198,32,6
31a84efd3a9dbd227be617a0d06a5f5b,1,16,5,318,92,28
805fd6e1c02e7319e602fb93a4083cdc,1,19,1,216,96,24
7cbcbb326a09c9ec41438a874f68c9db,1,20,4,176,63,15
b08c471ca0d7ec0529861af0e0046e4d,1,17,3,271,101,23
d3cedc4a25eebebead24df7eac7d2de7,1,2,3,257,21,7
2ac71c3a5f206ae9b1503a0634b3f386,1,8,1,291,58,15
afc666872423d6c832490ae3aa49861d,1,13,1,213,57,29
283e9511edc19c4ccb9c15e0d8ea54cc,1,4,1,241,54,9
2e0b8f11df7b08de82fc03ce1de6ecce,1,10,2,228,84,23
2fef5bf5a2934734f5dd3263412e3530,1,9,1,227,88,16
70d8faab32e84c6d6a36ad55d4b1f2b2,1,19,2,231,89,25
554df2fa94715e5e35a3c686ae5a80c,1,6,0,225,68,19
dd62d58da4a59190a4b2af23a54b632,1,12,2,193,57,34
af067051bedb3b40edcffc64cf3df62c,1,17,1,232,70,32
9ec6cd1ae201fb59df9b2e8902a1d185,1,17,3,252,80,29
693c663a9590ba042f227457c08d5781,1,26,1,288,104,17
f4f5d0c47825e56c431880bb93b8d111,1,14,5,205,63,31
5bf4870336fdeadf7178fd748f2b1ab9,1,19,1,222,64,21
33b1d561ff56d8900888f2afc1ad076b,1,18,2,305,89,28
cae6b26c84c1d6c1a8ad5d4e512e17a4,1,13,1,194,52,22
606249b8db53b68a73d0ea295ce44245,1,6,1,151,52,16
520b1bd9c293644f7f8fbf8ec95e52ce,1,9,4,321,68,29
de05b5671c579cd0b0ebbed1c63f62d8,1,6,2,253,41,8
55750f521ac58b8f00a3b6b6a0415b48,1,8,0,238,67,15
8d36d0705d672a060373eb14f971244c,1,8,3,168,46,17
73332e28dca839a86001a73c9eda7061,1,12,2,262,38,15
c57504a8ae695e2be8d8daacac91e2f6,1,13,0,216,78,25
66f3f24361ba9b191ee6e369f400c594,1,24,1,291,74,35
b6c870812065f829238cfb22911d0d6f,1,14,1,266,75,17
d08daa3417efdcbc837cb90ab99f2c50,1,9,2,216,86,22
31200e68728ee6e104edb7ac85282409,1,9,1,122,57,14
7dbbf92901f7ea2dbf39d2de109d1764,1,7,2,237,61,22
706c14674f7c3164cef7f5c31804591e,1,15,1,177,69,31
bf53434c1e35423a1abecdc6b2a2e79c,1,10,1,280,60,21
b9a594f31b4c964a2a6b8ed902d48e9e,1,5,5,254,79,27
3d099d395ee39fdd4e620aa1a420b8f7,1,14,2,250,92,19
e6a6949c31319d1ff319cc1dc978c72,1,19,0,250,81,23
571467b2067811d455f48a7de278615,1,13,1,145,42,25
fd2e4db898c1c9a3ecd98a27f942f779,1,5,2,240,65,11
45209a0a0fbc7b921fadb1cf384c91c0,1,7,3,170,82,22
39e8699a08f2dc3a2e562a9885dd85a0,1,20,3,256,91,17
72c47f60267e5e2c40814923d1fbecc8,1,28,0,163,60,31
f62f2d2bf5bc2895e4701e3f546f0243,1,14,5,186,46,17
e20d1e8fa67162436ff1109d2378a8de,1,4,2,266,24,11
c0c23b70d849f6c798f1c876eec9ba19,1,15,2,280,58,20
b2210ea513b2fcb13c23783e00c32e7f,1,9,0,253,30,19
cc4264ca2958c7123f9a03b7553b5e8c,1,4,1,217,59,10
94ffbabff73578c9b856495b07e9a396,1,15,0,305,79,25
fe7a97f61086a63b7923ad2e718a6dc4,1,12,3,188,60,13
8ba6b9c0fae4557ef6dee93de2ac32c0,1,5,0,226,65,18
6f144578c3aa962519ea42085d0b70b8,1,9,1,272,60,25
fafdddfc46b9d84ddcc9543887cb6837,1,11,0,289,69,21
29cae4bc4f6b28f0ecc3a3d62000211a,1,11,2,237,58,24
9f6a8b53c3f732f29dcaae233013da6,1,7,1,232,59,15
5f013eeb9be96847ae71c8dc101b41b3,1,8,1,154,47,15
96f9957531419816d04b66ef6445bde6,1,25,2,273,52,17
ec926f61d6f1513edcf795d343b2a52f,1,8,1,181,38,10
9704fa5ca87fc30508d29c8e6a0a6568,1,19,0,352,76,18
f050dc9f3f67cbfd63af9aafef74483f,1,24,5,314,149,44
ad6faf0d1624a7015f0eab10a6516fc2,1,19,1,276,76,27
7ab271037d1e7eca40d815ea3e42d912,1,16,4,194,88,29
8bf4616196bbc4026122dd5abcc54632,1,13,0,331,51,16
bba5f50516e17e508879321f8b7fe2d0,1,24,1,204,83,27
6fbc8e1d7c149c62d5e60ccda63366c7,1,8,1,247,119,45
aeb3ac89912071e8f8c520261c9e7308,1,11,2,293,71,19
4a29b54b8f763399fb9ae6de140c3c30,1,22,1,308,70,12
1e98563b61f656bdd20c026afc7d42be,1,15,0,239,55,20
19cab4ad9811430d11bcaf29b669d92a,1,17,3,185,90,20
ea90622f0bfc37efee99acd6d7e9e909,1,9,2,263,63,17
e64755a5303a16e130d9478d1efada5a,1,0,0,607,128,18
132bb10fd3facbce5919e0ed74ae01dd,1,7,2,234,103,20
95a8162e278c09ace00741727646fc9d,1,8,3,195,71,28
4f09bd80c9324759deaa294078e4f884,1,10,2,258,48,28
e27a4f17bfe4dc7a81e2cfd7aa61c61d,1,18,2,218,65,24
ac46daad9bf2371fbd989fe4760721c2,1,7,0,280,23,11
14b4177beae77ce96bc7b48c7cc639f5,1,5,4,247,71,22
c21750c122d7e5ca67092aa89512aa8c,1,15,2,235,68,28
b015f99920c4f20c3b809e8e96fa4085,1,21,2,280,95,26
ff2a075b8494e3a36619fd4802cb1cdd,1,10,1,195,87,28
298eabfd888593177f6d519b5c4b326,1,17,5,253,76,34
8266d3bd79a0560b878394651e0cd5cf,1,14,3,269,84,38
f17579f54b9c6140714e9c1e14a56e3c,1,14,1,298,51,8
20209383d91ae6c099ba45cc666ed9af,1,9,0,226,60,15
f363a2a3552f5a4602fa402a81dabfe0,1,11,3,279,109,38
f06a83fbd620aff659fc7671298aa69,1,38,1,233,67,14
1064bd0b78f14bea5b851e2a995dd4e5,1,14,6,302,92,34
aa17bb5f1de3ebc4da43bad6600fc480,1,16,2,209,65,34
41ea442c12a7d4f417da3fc0fdc6c2b,1,18,2,249,73,38
f383054645cd45c01a0a9fbebab394df,1,7,5,189,81,38
dfbe671e16233b3775cf8108edec9e28,1,5,2,184,65,14
950d8aed4cd75133cd6436461d5b9845,1,5,2,176,60,24
8f5bca44b92074fc94781f0b0143d3fe,1,11,3,243,81,26
a1d01d17beba49168a5c7dc963a356be,1,10,1,284,100,38
2771bc769455dcb61b32de4517390784,1,15,1,253,28,5
6863ea1658383596b9181ae4912cdf1,1,7,4,180,58,25
56e910d5e7913c48cf87a2574d1a8d1e,1,8,1,198,68,20
68ae630c0f1f2f3d5a3c29ad518e7761,1,7,5,131,47,23
eb89cf222b850c1269e0fe8dd8d00a74,1,5,0,214,67,30
f3edb2fc8ec0a9649a909e1f14689c4c,1,7,1,170,54,12
86e759997fc0ef9374c510ed29d1c9e8,1,26,3,324,67,31
636a26012984c13e0d9f60073cc4656b,1,15,1,206,58,20
aad582cc83f07586e197b565708da8e7,1,10,2,193,50,24
23d7e7628f1f6b716bcb7610668e0ba0,1,13,2,200,66,35
b2d6f031eb2226e08c7bb07c7b88a3f5,1,13,0,219,53,14
1f29c7e8aa97467ff63456d835af1d63,1,19,2,283,86,37
4e77a41f774625f6c1ef2fa1f5ea34d5,1,24,0,207,97,27
ebda8fc3e1008577b3a2c1a9764029db,1,10,1,200,60,21
da65809d8b3d7f57075eb51c617c4301,1,12,4,192,71,26
b56f9f1ef99ec5c70ae057a253707707,1,15,2,282,51,21
144284dd77b69535d540df4ae82d525d,1,9,0,185,99,20
96fe3182581e9d3aa6c92fbd8a78497d,1,12,1,298,69,23
a7a044076db57d9e5a250f8a0e94dd85,1,9,0,304,58,16
ad2578a02b897d97ee5b421e5d91aabf,1,8,1,202,41,10
9ac180bd993295886d8c416175c6dc55,1,8,4,256,76,38
d2fb8013733eaec34f6c858164bfd558,1,17,0,250,80,28
d027c6ce71b1a7b517c11d4626bc1c56,1,10,2,248,91,21
c9d209af548deda78984751009e23454,1,8,2,250,71,15
6b0b4a27c302f3f65ea598403108c32e,1,16,7,248,87,39
ec931f67ddeb7614687368b60ec3ed1e,1,11,3,181,70,18
d259a7d19ecadcd47994c8ed59b99851,1,7,2,128,43,10
cb1040d1012459a1be941d6929e11c32,1,10,3,218,59,27
2555285f9dd53a6e9b453801afdc0a6,1,12,8,291,84,21
5d8c63fde1e6a629e4a987de302165bd,1,10,0,214,47,22
b8c32c0f41d98d7d426441652c4ff7de,1,14,1,202,89,36
a0c372c81e40d4bd9a697610b3b84fd6,1,8,1,207,73,10
be1c0bfe61d26298f6de4fcc2971e8aa,1,13,0,230,77,23
da6330dd08349396c1b335b1afb82a66,1,13,2,272,102,22
460d193d5405984f41bc42f52c4df1e,1,9,0,247,89,16
6d5a8db7a5b28551741fdc461daa2e13,1,10,0,186,87,21
1d2201281efcc781720ca4709349b4ff,1,5,3,190,74,31
508fac9e413475c5c0d0b5578d832dc2,1,17,4,257,89,26
951a8830636ea924196e08a744749103,1,0,0,108,33,8
9f9e1bc67b695f9bd9fcbd37ff4c068f,1,11,4,234,78,33
b55ea0b09b0bc4aaf2af7ba9e380428f,1,6,5,178,85,32
ee6e50973c503830ce4ff76b0dc3f6da,1,41,1,233,97,16
f551e6521d8d53ff1db3277ef390628d,1,17,4,212,80,44
9f237ee76e2dfc2e73f7f55a69b634f5,1,11,3,164,72,26
cf66a7f2ca1f5a40dbce1868cf1d8cc0,1,18,3,239,68,28
b123667f9d6697eb2828dc00920099fc,1,17,3,281,74,23
22123328bbf3e81446d92641898c692f,1,27,3,291,70,38
e8db82d2685ff57492db335af53405e4,1,13,2,226,58,19
1c4c0e12f255501723e73c3e189eda6b,1,29,2,239,70,28
74bcf99189f36395442bf60c86c8cbe4,1,10,2,307,66,14
d5f651fe7daaa23f1fbce1080037130d,1,11,1,253,81,35
92ec89f912fdb081a8af53d435c5d55c,1,27,1,227,65,13
4585804fa7d57b5aa3ba0d4c4f726185,1,20,0,242,94,27
88c6b44f1d520ce82e94d5f271fb06f0,1,22,3,309,103,40
55772ec781771cb0ca1ed2330e70e46a,1,16,1,251,75,46
18ed49a77c9f5b5a7fa90885013d8c46,1,9,3,185,83,28
a9e58fa8f4db6df3d791775d75e1822,1,16,0,190,76,28
1fc59b9c73f527df121d65ea68a107be,1,6,2,225,70,26
278a4442bdf8bfe4bcb22c05e6751bf,1,12,0,304,97,25
7b911cf1db599c0053dea40d8c226741,1,19,1,252,70,31
efdc0ecd87d81e7cdd7f73bb44b042d7,1,10,8,284,68,30
bc27bbf5417cac831d8973896a824f2b,1,50,4,233,116,25
305be2de52acb7595fbc7c6284f202f2,1,11,2,214,70,22
4502f17f7a9d88f6a9594e82968740b0,1,9,4,262,81,33
cbdb29a7e5ac0bf8296c89cce2b259ab,1,13,0,164,65,11
aa58ace5619c081827dd8336b682f3d1,1,12,1,291,42,18
d181625d0d5c775d0857820c31a5a7c,1,12,0,226,73,24
740f1ca9bf6efa60013e632c143c8469,1,18,3,215,109,30
a4a5f6f410fe008ac698ef492bd1e96e,1,3,2,244,40,16
17794b989eb5d1e1eedcabb7dfc83ea3,1,8,0,124,31,11
102cce280df9f6e0e78bfdd266f1abb5,1,19,1,265,98,27
fc2a6da776b5a5abe909f39f64448efa,1,22,1,266,110,36
bab2b693488a2c70de92fb153eb04d23,1,23,2,272,79,22
884b4e76bd3be95e27ac1a7e77116cdb,1,15,5,205,65,26
93088f6c36e8e14fad34a010e2ed0609,1,23,3,246,90,28
18416fc25f2716d2af7db9a04dd5452f,1,16,6,229,78,33
4655e8db3358732f43201600f62967ca,1,8,2,181,40,14
1fadbb99bb6cce129ab2bcb1d81a2667,1,12,1,236,75,32
cde1f8f250d7beeff51065c8ee42725f,1,16,3,322,54,14
57d5f45c70534b32c62aab4156d042d1,1,14,3,231,81,26
b3d9a6020c9dbed7bf8d00201222e987,1,12,2,294,92,23
e62e683a17bc461c68b9bac8d7771820,1,25,1,210,70,13
702dda85c150c7c4d673cb211a2c02b5,1,70,0,410,86,62
dd0dab5c34148ea33545de68e6a16305,1,36,1,256,84,13
e971918f32fe35e018ef253439480c60,1,8,2,153,65,23
f6d2400a14529892a457c22358f27126,1,10,1,156,53,16
5a81cf7b8e39dfde3d0b10d511a1796e,1,11,1,187,45,15
a4912b4c23a525312872575dba9403e6,1,17,3,284,117,38
dd0dd2d6737d909b0cfda8697704c62e,1,10,1,126,54,21
251efc249cbbb4750fb50be9e9efcc81,1,17,2,294,103,17
71e9f3da78b6d62a22e489bc96999b6,1,16,1,163,46,28
4c01c6c4a08a5c287e92d33954bde120,1,10,0,216,59,12
a6889972d5f38dda6fb7d566ce27d845,1,10,3,134,45,18
55db07133dc1e84100c8e477f02c325c,1,9,0,228,59,13
f22b15ee4fb89970201366e1e4ee9c1a,1,15,4,240,75,23
40d21577ba03f69249f775c23f4be35c,1,8,0,208,72,22
3af3059d6be87e127f862636fb9d6490,1,13,1,152,63,16
f71aba79d0cce2a3eb7b988a4fb552c5,1,13,8,328,70,75
10d6344685dece1edfb9331ea6a76f86,1,16,3,253,68,23
4ae7d353d36cb32d976c0421ca6f51f9,1,7,1,183,52,12
7d4fef23e3ec0a4cc4a421fcaba7267c,1,11,7,224,113,37
a9fc9a8b3343677f613ab5d72822b933,1,16,5,233,101,36
fb70c2cd4e2d759c290a406da0b691a2,1,14,2,222,61,15
c39018396d924c25ebf8c59fa8a8ce14,1,8,1,144,42,15
4f2c42e7f7266b0a18bfe513d70191,1,14,0,192,66,13
8e06b1a07d11a697525082099fd80413,1,38,2,224,78,17
46b30982dafd0dfc364bab087a509e49,1,12,1,186,48,16
8b200a32f326c16919fdd4b94900b29e,0,9,0,190,72,22
6e82d17913b0d46f15d14eba7b2cc733,0,40,1,240,195,15
8e6e0521f702c2c9508b2239c5971b8a,0,14,2,329,78,17
39355523c270df4470ffe6684ecdf67f,0,13,0,522,50,23
aa0f13b8427fe170d90d7116114d4c9f,0,13,1,233,82,29
9712f44b4274008a7cd631c26ec8708d,0,14,1,222,58,20
8970e12617c86bac394972eb0f6fd443,0,16,2,260,86,30
ddbab0e64eeaaadcd9d4aae5ad690d8f,0,9,2,153,66,15
d1fd3091fa4bc8cbd38f4a1b8302af42,0,10,2,192,63,27
8e5ae50ce9b94683db4a8663d3635332,0,9,4,197,76,37
a4efc174d7ab0cc41c52d7c76c5aa7da,0,17,5,228,74,31
878cc5d74f7f58775fd8d54e2289a4bc,0,9,1,341,37,15
c7fa0f56917adb8260ce4260f6639a66,0,12,2,180,49,25
a004f1b810402a4e391ea6b3702f2b45,0,13,7,251,83,29
7fc5a43890b83029ab05586f9a178c6a,0,17,3,221,75,35
22fe7f79033388cc8316508644b5ce88,0,15,3,233,60,20
e2a7a01b051031b29e017fe1bcdb5681,0,6,2,208,38,15
67a75a5dbafceb6da63d2b88912bc7d8,0,5,2,291,87,40
200e612d61fae73756637523c3ddbc60,0,4,2,268,33,12
9f4bcddd35b910947e8a23e06563a6ff,0,10,1,241,48,12
8d000f3ccb80ee2d035a20e7bcdff9a8,0,16,2,241,115,44
ea32efdf89833090d1449ffefcd6e793,0,9,2,137,40,6
27f24d761fcb9a7614dbda0f160f026f,0,10,3,321,71,22
d3ebb8fdd5ca0c9eb184ca9f6ecf9f5f,0,7,3,298,93,38
1b5fa39a99f774adee4ef02b7580f328,0,17,2,131,58,18
58d5f0a7d128e673c25ee726c690a46c,0,22,10,272,116,31
d548292a71cbee250daffb999374a48e,0,7,6,139,34,16
fb1970a45df1ce1edef89b4e3c58f219,0,15,2,235,77,29
f35b8388502c5a8835432590e9e767a7,0,19,3,194,81,24
a411d04acfcc6773f63237efcb65bd21,0,5,0,177,101,82
47e7bb82b4062116f4dc8cb15b8e8b70,0,15,2,245,80,36
87095194ff45e711e93e1f1750bc22b2,0,25,4,194,66,20
effd96c38aa48899a74efa76cf233dff,0,9,0,258,31,14
3e803dd669f2c53e2a1629a6918595dc,0,3,0,228,56,23
10b29c3fa3a80479a726ace913768934,0,17,1,280,56,26
bc69be41fceff0b577996d7f5f3eb6a5,0,12,5,193,57,12
700a73185a130ab076f3ee8d922df82c,0,11,0,235,62,19
e58540ad4a155d1fe48b87fa8cae2d9f,0,19,0,133,26,8
3843ac448579c5d7ce73371592d58d69,0,18,0,356,85,43
282529482379a5c6eedce4495d7f3fb0,0,9,2,118,54,17
ac7b19d04760fe46783bf7edfadaa8c,0,12,1,256,22,14
31e1b61709796d6fb556eff60df53a6f,0,16,1,191,70,19
81cb5d1a48958d9480f80540d05178e9,0,12,3,204,70,21
97ffcc541e1c4de8f59877d8e5e6d89a,0,7,1,208,45,0
bc36c399964d58fe8871ffd2b6eed863,0,12,1,231,57,18
2128dee00ae52067a0311e2e1deaceae,0,15,1,188,46,15
d6605d2939afb9b10a5f26e0c30b889e,0,13,2,278,105,42
8ef9d9e89c1375fa3afb853be1e0fd01,0,12,3,208,84,30
9ff97715cb0958dc61180018453b529,0,9,2,320,100,28
c88e59b72b112810f4a3e47c496b8558,0,22,0,208,49,9
eb151ca9c0e31d615dd8c335bdbc9226,0,7,4,132,47,13
70355ce4b88f91a3b920a37e5f0051c5,0,7,3,313,89,29
4f9616f73c369e137b3f20626a8183c,0,8,2,246,44,14
dc603aab908ece2975f0ed2106597aa4,0,4,1,231,70,38
8f7147536f0f2b228a21ca123c87c7c2,0,28,1,311,107,33
ca345e44f6c67182931cd66de0776f57,0,5,1,145,22,45
6c92bebe2dabbdeccbc7bdaa4bf9292f,0,9,2,165,56,25
3ee9490fc317113d398b26fcf2acac1e,0,16,2,286,93,33
d67865c0c7e4f9040ab4c58f54a821b8,0,11,3,284,39,20
b2b14c837da2e4390f1a4c4be3943c6,0,10,2,167,61,14
2aa0dbe22350e918bae4c1c38fc79e4a,0,11,2,238,60,21
e0777f8e3112561299f83fa6ca8f19ea,0,11,2,253,83,32
6cc3928af6e14344a691d04a11203646,0,9,1,235,69,19
a505b4e3468f9753935e630e12d03996,0,8,0,274,56,13
d67e005161b92db2e0992a7c9b16d874,0,10,0,252,50,6
a7a37d8678136b739494b0a49deb263,0,12,2,225,60,21
2c9305d1faf39be0b452b79f1f9bd4b9,0,15,1,238,66,25
448fccfe5aa4bcdb20365f1b7ec0e972,0,15,2,321,102,18
79b814eff889c04d2d22fae2b3c708e5,0,16,2,275,73,19
dc2a3c1be3d1dabce7f3bf577957f438,0,18,1,293,74,33
e64b6b2818fada0a954bf1a78782dc8,0,28,1,245,105,18
e34d3b885e6401b563182a163c86acce,0,10,2,206,87,31
e6a54d3ae8440a21c726bdb66350133e,0,10,0,223,68,26
e69a488c50a331134192ad14707e0b03,0,10,2,260,81,30
39464f26c4a6d6b8cb312d888d1a74fd,0,17,1,193,64,26
996034c7d5ff0dfb58f3725768609229,0,7,3,220,77,24
4138304267eb93062dc127e638f99c24,0,10,0,182,75,26
ade6b98009286428086920abd2093ef5,0,10,0,215,34,11
27bd730ce3b7431a4ebc5fab637a44ff,0,14,0,277,59,26
c222c5b205fbb531e78c07b9ba9971ab,0,15,1,236,73,32
6f524fdd05155104b87fcf4a470af5e6,0,11,4,246,68,32
c186b201bc1304d1c37a63133ab3cb7b,0,16,4,223,59,11
c1b25d99b7ee512120d2dc27c50515b4,0,12,5,223,52,24
6f18f391d88a273b9c3858fc568a9e58,0,18,2,276,40,16
c02411e35124b4777cdcb705911081c0,0,27,2,343,74,31
b13f871afa48f4b0b9252f48b1330e8d,0,16,3,240,65,22
7aa760078398ec78f14c82644c8ba021,0,11,2,232,71,24
92fb3e0ce525cc933767c0b0fa50ac87,0,6,3,171,72,21
859258712ead149a0a5d1358d762b1a4,0,22,5,210,71,21
7f2a72b943548c43bd66bf24bdfdb2d6,0,14,1,240,69,19
ccc556415b7845e67454977639df57a8,0,18,3,300,98,24
bb22918fe71cb229d453c00e85bfdf89,0,18,2,221,82,32
e7c385232510dcad99e371436b296414,0,24,9,309,74,25
703cdf0a5e2b8dd82629935fe7e440ce,0,18,3,298,84,21
a3c36e3d994330cdc2192f10a9fe53cf,0,17,0,246,79,31
b59b52b4cd1163402051e4877dbf4158,0,11,3,199,59,22
80ba1d0da811ccd3d00abd2d44302137,0,8,4,192,45,11
f2e067074867250280dde441ce52910e,0,17,3,214,59,18
6df9b0de618e1418357564f62b1fa135,0,12,1,308,100,18
9356d7b9442e8a5cc85989912572ac8c,0,15,1,226,57,27
b1541c0b349a95fe79344f1c4be0e953,0,4,4,286,63,53
9c5f9f2aa1c0f4d4376e6a0b0b76621f,0,10,1,204,55,13
9ebb795a9e80c3174f143aa4833d2cfa,0,15,2,229,89,28
96264a2cd5d900ec4eb58031db2f5a19,0,11,1,169,47,18
2d9d6cb7ba26a82a8e79435ea72d8dde,0,8,3,160,58,25
797032316cd5054cfe85873b1ae81685,0,11,0,280,70,21
1ef9ca59bfc836b11b726a6535ffb7d1,0,13,1,211,52,18
cf7502c7dbcf2ece71b13f5da56b9d7a,0,12,7,253,89,31
